SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
10410,2022-06-03 15:26:21.543,22402748,LF4,269.701466936842,809.104400810526,C,2022-06-03 15:26:50.640
10409,2022-06-03 15:17:41.177,22102662,LF1,268.129099526316,804.387298578947,C,2022-06-03 15:17:50.757
10408,2022-06-03 14:05:40.960,22102661,LF1,248.090824552632,744.272473657895,C,2022-06-03 14:05:50.903
10407,2022-06-03 13:53:40.620,22402747,LF4,92.9514943789473,278.854483136842,C,2022-06-03 13:53:50.650
10406,2022-06-03 13:42:20.620,22202690,LF2,75.2842975000001,225.8528925,C,2022-06-03 13:42:50.737
10405,2022-06-03 12:58:20.830,22102660,LF1,151.367970189474,454.103910568421,C,2022-06-03 12:58:50.533
10404,2022-06-03 12:39:45.847,22402746,LF4,227.060546605263,681.181639815789,C,2022-06-03 12:39:50.540
10403,2022-06-03 12:27:50.873,22202689,LF2,257.9528398,773.8585194,C,2022-06-03 12:28:20.667
10402,2022-06-03 11:24:20.873,22402745,LF4,287.724010726316,863.172032178948,C,2022-06-03 11:24:50.380
10401,2022-06-03 11:14:17.623,22202688,LF2,305.788459063158,917.365377189474,C,2022-06-03 11:14:20.380
10400,2022-06-03 10:16:16.280,22402744,LF4,246.1511952,738.4535856,C,2022-06-03 10:16:20.917
10399,2022-06-03 09:42:20.940,22302677,LF3,264.750145947368,794.250437842105,C,2022-06-03 09:42:50.383
10398,2022-06-03 09:17:45.593,22202687,LF2,281.657731452632,844.973194357895,C,2022-06-03 09:17:50.353
10397,2022-06-03 08:48:20.563,22402743,LF4,121.352171305263,364.056513915789,C,2022-06-03 08:48:50.310
10396,2022-06-03 08:29:01.070,22302676,LF3,195.7736728,587.3210184,C,2022-06-03 08:29:20.357
10395,2022-06-03 07:47:01.150,22402742,LF4,159.0030424,477.0091272,C,2022-06-03 07:47:20.283
10394,2022-06-03 07:39:45.593,22102656,LF1,157.8175514,473.4526542,C,2022-06-03 07:39:50.307
10393,2022-06-03 07:12:20.563,22302675,LF3,224.691108426316,674.073325278947,C,2022-06-03 07:12:50.283
10392,2022-06-03 06:33:03.187,22102655,LF1,179.515168710526,538.545506131579,C,2022-06-03 06:33:20.290
10391,2022-06-03 06:17:00.770,22402741,LF4,226.469235957895,679.407707873684,C,2022-06-03 06:17:20.133
10390,2022-06-03 06:01:19.830,22202684,LF2,216.8930998,650.6792994,C,2022-06-03 06:01:20.267
10389,2022-06-03 06:01:18.730,22202684,LF2,216.8930998,650.6792994,C,2022-06-03 06:01:20.223
10388,2022-06-03 05:07:25.670,22102654,LF1,227.8846772,683.6540316,C,2022-06-03 05:07:50.033
10387,2022-06-03 05:03:25.390,22402740,LF4,126.046532489474,378.139597468421,C,2022-06-03 05:03:50.180
10386,2022-06-03 04:17:00.830,22302673,LF3,318.1704652,954.5113956,C,2022-06-03 04:17:20.107
10385,2022-06-03 04:05:15.930,22102653,LF1,203.452831789474,610.358495368421,C,2022-06-03 04:05:20.030
10384,2022-06-03 03:39:41.050,22402739,LF4,162.7221814,488.1665442,C,2022-06-03 03:39:50.003
10383,2022-06-03 03:09:00.030,22302672,LF1,218.819557289474,656.458671868421,C,2022-06-03 03:09:20.050
10382,2022-06-03 02:30:52.983,22402738,LF4,157.3284463,471.9853389,C,2022-06-03 02:31:20.377
10381,2022-06-03 02:30:34.433,22402738,LF4,157.3284463,471.9853389,C,2022-06-03 02:30:50.087
10380,2022-06-03 02:06:21.060,22202681,LF2,182.093716,546.281148,C,2022-06-03 02:06:50.160
10379,2022-06-03 01:37:01.143,22102651,LF1,210.214993,630.644979,C,2022-06-03 01:37:19.820
10378,2022-06-03 01:32:21.093,22402737,LF4,212.102515136842,636.307545410526,C,2022-06-03 01:32:49.990
10377,2022-06-03 00:46:24.150,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:51.127
10376,2022-06-03 00:46:24.150,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:51.713
10375,2022-06-03 00:46:23.583,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:50.713
10374,2022-06-03 00:46:23.483,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:50.453
10373,2022-06-03 00:46:21.957,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:52.990
10372,2022-06-03 00:46:20.860,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:52.537
10371,2022-06-03 00:46:20.353,22202680,LF2,160.989785789474,482.969357368421,C,2022-06-03 00:46:49.913
10370,2022-06-03 00:37:03.340,22302670,LF3,51.2511711999985,153.753513599995,C,2022-06-03 00:37:19.833
10369,2022-06-02 23:48:22.367,22402736,LF2,230.195159726316,690.585479178947,C,2022-06-02 23:48:49.783
