SEQ_VALUE,MSG_FLAG,WRK_DT,INSERT_DATE,C_PER,S_PER,TFE_PER,MFE_PER,SIO2_PER,LOI_PER,MGO_PER,CAO_PER,P_PER,KLN_NO,MAT_TYPE,AL2O3_PER
4377,N,2021-11-23 00:00:00.000,2021-11-23 13:11:20.533,0,0,0,0,0,17,0,0,0,1,LIME,0
4378,N,2021-11-23 00:00:00.000,2021-11-23 13:11:20.507,0,0,0,0,1.66,10.16,1.84,84.46,0,2,DOLO,0
4379,N,2021-11-23 00:00:00.000,2021-11-23 13:11:20.503,0,0,0,0,0,18,0,0,0,3,LIME,0
4380,N,2021-11-23 00:00:00.000,2021-11-23 13:11:20.440,0,0,0,0,1.71,14.2,2.01,80.15,0,4,LIME,0
4374,N,2021-11-23 00:00:00.000,2021-11-23 12:16:50.500,1.07,0.0046,84.68,78.02,0,0,0,0,0,0,DRI,0
4375,N,2021-11-23 00:00:00.000,2021-11-23 12:16:50.497,1.72,0.0037,84.76,78.28,0,0,0,0,0,0,DRI,0
4376,N,2021-11-23 00:00:00.000,2021-11-23 12:16:50.407,1.87,0.0032,84.81,78.37,0,0,0,0,0,0,DRI,0
4370,N,2021-11-23 00:00:00.000,2021-11-23 06:00:20.143,1.06,0.0043,84.67,78.02,0,0,0,0,0,0,DRI,0
4372,N,2021-11-23 00:00:00.000,2021-11-23 06:00:20.110,1.11,0.0039,84.69,78.1,0,0,0,0,0,0,DRI,0
4371,N,2021-11-23 00:00:00.000,2021-11-23 06:00:20.110,1.18,0.0046,84.76,78.29,0,0,0,0,0,0,DRI,0
4373,N,2021-11-23 00:00:00.000,2021-11-23 06:00:20.080,1.09,0.0045,84.8,78.35,0,0,0,0,0,0,DRI,0
4360,N,2021-11-22 00:00:00.000,2021-11-22 22:08:49.810,1.19,0.0034,84.27,77.72,0,0,0,0,0,0,DRI,0
4361,N,2021-11-22 00:00:00.000,2021-11-22 22:08:49.807,1.09,0.0045,84.5,78.07,0,0,0,0,0,0,DRI,0
4362,N,2021-11-22 00:00:00.000,2021-11-22 22:08:49.793,1.07,0.0041,84.61,77.88,0,0,0,0,0,0,DRI,0
4363,N,2021-11-22 00:00:00.000,2021-11-22 22:08:49.687,1.13,0.0047,84.7,78.11,0,0,0,0,0,0,DRI,0
4359,N,2021-11-22 00:00:00.000,2021-11-22 13:56:49.260,1.18,0.0041,84.62,77.99,0,0,0,0,0,0,DRI,0
